run_id,lr,width_mult,batch_size,weight_decay,best_val_acc,best_epoch,final_train_acc,final_val_acc,time_minutes
27,0.05,0.5,128,0.0005,91.47,49,97.0,91.32,6.99
18,0.025,0.5,128,0.0005,91.31,50,96.54,91.31,6.87
26,0.05,0.5,128,0.0003,90.73,48,96.96,90.65,6.84
24,0.05,0.42,128,0.0005,90.62,50,95.48,90.62,6.91
17,0.025,0.5,128,0.0003,90.11,50,96.16,90.11,6.84
15,0.025,0.42,128,0.0005,90.02,49,94.84,89.93,7.02
21,0.05,0.35,128,0.0005,89.94,49,93.59,89.79,6.74
14,0.025,0.42,128,0.0003,89.82,50,94.48,89.82,7.0
23,0.05,0.42,128,0.0003,89.8,50,94.87,89.8,6.97
25,0.05,0.5,128,0.0001,89.61,49,95.97,89.44,6.75
12,0.025,0.35,128,0.0005,89.49,48,93.16,89.41,6.79
20,0.05,0.35,128,0.0003,89.46,50,93.22,89.46,6.62
16,0.025,0.5,128,0.0001,89.43,47,95.71,89.42,7.13
13,0.025,0.42,128,0.0001,89.16,45,93.89,88.99,6.93
22,0.05,0.42,128,0.0001,89.15,49,94.61,89.15,7.0
9,0.01,0.5,128,0.0005,88.71,48,92.97,88.61,6.82
19,0.05,0.35,128,0.0001,88.71,49,92.47,88.57,6.92
11,0.025,0.35,128,0.0003,88.54,49,92.29,88.5,6.91
8,0.01,0.5,128,0.0003,88.07,50,92.38,88.07,6.83
10,0.025,0.35,128,0.0001,87.9,48,91.73,87.89,6.77
6,0.01,0.42,128,0.0005,87.77,44,90.62,87.58,6.73
7,0.01,0.5,128,0.0001,87.35,48,91.88,87.32,6.84
5,0.01,0.42,128,0.0003,86.88,44,90.4,86.67,6.82
3,0.01,0.35,128,0.0005,86.61,50,89.37,86.61,6.91
4,0.01,0.42,128,0.0001,86.57,49,89.57,86.56,6.85
2,0.01,0.35,128,0.0003,85.64,46,87.92,85.53,6.65
1,0.01,0.35,128,0.0001,85.21,43,87.7,85.17,6.77
